X,Y,Z,Value,Grade,Rock_Type,Extracted
0,0,0,116.05714451279329,2.3299848545285125,ore,False
0,0,1,-8.0,0.0,waste,False
0,0,2,52.47956162689621,0.6452090304204987,ore,False
0,0,3,-8.0,0.0,waste,False
0,0,4,-8.0,0.0,waste,False
0,0,5,-8.0,0.0,waste,False
0,0,6,117.59278817295954,2.5811066020010545,ore,False
0,0,7,54.54599737656805,0.9585112746335844,ore,False
0,0,8,81.98051453057903,1.5798625466052894,ore,False
0,0,9,88.94823157779035,0.8487346516301046,ore,False
0,0,10,69.30894746349534,1.64017496054259,ore,False
0,0,11,-8.0,0.0,waste,False
0,0,12,81.13875507308893,1.9810364221551064,ore,False
0,0,13,88.60358815211507,0.9263103092182288,ore,False
0,0,14,115.91084298026666,2.9140800826863984,ore,False
0,1,0,-8.0,0.0,waste,False
0,1,1,47.81376912051071,2.210582566280392,ore,False
0,1,2,49.76305878758231,1.7379422752781757,ore,False
0,1,3,112.74563216630256,1.1469499540000423,ore,False
0,1,4,-8.0,0.0,waste,False
0,1,5,81.60544169422487,1.8667756983581991,ore,False
0,1,6,117.56677022116467,2.4378320584027864,ore,False
0,1,7,-8.0,0.0,waste,False
0,1,8,-8.0,0.0,waste,False
0,1,9,-8.0,0.0,waste,False
0,1,10,-8.0,0.0,waste,False
0,1,11,55.67862899353162,0.6130682222763452,ore,False
0,1,12,-8.0,0.0,waste,False
0,1,13,-8.0,0.0,waste,False
0,1,14,-8.0,0.0,waste,False
0,2,0,-8.0,0.0,waste,False
0,2,1,62.47476077499046,1.8567402078956212,ore,False
0,2,2,104.17575846032318,0.686376609199427,ore,False
0,2,3,-8.0,0.0,waste,False
0,2,4,-8.0,0.0,waste,False
0,2,5,40.44176936988819,2.5386535711370852,ore,False
0,2,6,-8.0,0.0,waste,False
0,2,7,-8.0,0.0,waste,False
0,2,8,-8.0,0.0,waste,False
0,2,9,68.67725828354182,0.7896726488128243,ore,False
0,2,10,-8.0,0.0,waste,False
0,2,11,-8.0,0.0,waste,False
0,2,12,-8.0,0.0,waste,False
0,2,13,64.87858573725298,1.3129583050668676,ore,False
0,2,14,-8.0,0.0,waste,False
0,3,0,-8.0,0.0,waste,False
0,3,1,-8.0,0.0,waste,False
0,3,2,-8.0,0.0,waste,False
0,3,3,97.0595829778396,2.4019626215422436,ore,False
0,3,4,-8.0,0.0,waste,False
0,3,5,-8.0,0.0,waste,False
0,3,6,-8.0,0.0,waste,False
0,3,7,-8.0,0.0,waste,False
0,3,8,-8.0,0.0,waste,False
0,3,9,48.63131415946435,0.5785729642168356,ore,False
0,3,10,-8.0,0.0,waste,False
0,3,11,80.68565529317623,2.7689161848152324,ore,False
0,3,12,72.83063384285038,2.3888778463576217,ore,False
0,3,13,46.15839278630344,1.22437863228442,ore,False
0,3,14,114.37581218740584,2.5203009489110424,ore,False
0,4,0,-8.0,0.0,waste,False
0,4,1,-8.0,0.0,waste,False
0,4,2,-8.0,0.0,waste,False
0,4,3,111.40471987919824,1.8483556047891267,ore,False
0,4,4,-8.0,0.0,waste,False
0,4,5,-8.0,0.0,waste,False
0,4,6,48.804153962214144,1.0698379063548542,ore,False
0,4,7,-8.0,0.0,waste,False
0,4,8,-8.0,0.0,waste,False
0,4,9,-8.0,0.0,waste,False
0,4,10,80.85978420620526,1.5435275078719477,ore,False
0,4,11,49.589229386694626,1.3440379285090698,ore,False
0,4,12,-8.0,0.0,waste,False
0,4,13,-8.0,0.0,waste,False
0,4,14,-8.0,0.0,waste,False
0,5,0,-8.0,0.0,waste,False
0,5,1,117.74256661767686,2.906118237355278,ore,False
0,5,2,79.77988047139084,1.252195774541924,ore,False
0,5,3,42.95095578836262,2.023910834949742,ore,False
0,5,4,-8.0,0.0,waste,False
0,5,5,62.29171713892892,2.7706647149166344,ore,False
0,5,6,51.59158976729785,1.7236319006939076,ore,False
0,5,7,-8.0,0.0,waste,False
0,5,8,93.77084379247027,2.404049038321794,ore,False
0,5,9,98.25730788894876,1.419457831798133,ore,False
0,5,10,-8.0,0.0,waste,False
0,5,11,-8.0,0.0,waste,False
0,5,12,-8.0,0.0,waste,False
0,5,13,106.82419964713904,1.3019501624293397,ore,False
0,5,14,43.26201132438111,1.9772323579706048,ore,False
0,6,0,-8.0,0.0,waste,False
0,6,1,80.96744466394247,1.0662394379948448,ore,False
0,6,2,-8.0,0.0,waste,False
0,6,3,95.27501904819728,1.4668383657513435,ore,False
0,6,4,-8.0,0.0,waste,False
0,6,5,67.28530808402068,0.7836838031014727,ore,False
0,6,6,-8.0,0.0,waste,False
0,6,7,-8.0,0.0,waste,False
0,6,8,92.79872368273432,2.5430555005030397,ore,False
0,6,9,-8.0,0.0,waste,False
0,6,10,-8.0,0.0,waste,False
0,6,11,47.44822142447194,2.7430393948833167,ore,False
0,6,12,-8.0,0.0,waste,False
0,6,13,-8.0,0.0,waste,False
0,6,14,-8.0,0.0,waste,False
0,7,0,98.07645430961917,2.742775649881443,ore,False
0,7,1,-8.0,0.0,waste,False
0,7,2,-8.0,0.0,waste,False
